AllDigital Holdings, Inc,ADGL,OTC BB,United States of America
Alcobra Ltd.,ADHD,NasdaqCM,United States of America
AdCare Health Systems Inc.,ADK,NYSE MKT,United States of America
Advanced Life Sciences Holding,ADLS,OTC Markets,United States of America
Adamis Pharmaceuticals Corpora,ADMP,OTC Markets,United States of America
Admiralty Resources NL,ADMRF,OTC Markets,United States of America
ADM Tronics Unlimited Inc.,ADMT,OTC Markets,United States of America
Audience, Inc.,ADNC,NasdaqGS,United States of America
Adino Energy Corporation,ADNY,OTC Markets,United States of America
PT Adaro Energy Tbk,ADOOY,OTC Markets,United States of America
Automatic Data Processing, Inc,ADP,NasdaqGS,United States of America
AUDIO PIXELS HOLDING,ADPXF,OTC Markets,United States of America
Audio Pixels Holdings Limited,ADPXY,OTC Markets,United States of America
Adarna Energy Corporation,ADRN,OTC Markets,United States of America
Alliance Data Systems Corporat,ADS,NYSE,United States of America
Autodesk, Inc.,ADSK,NasdaqGS,United States of America
The ADT Corporation,ADT,NYSE,United States of America
Adroit Resources Inc.,ADTFF,OTC Markets,United States of America
ADTRAN Inc.,ADTN,NasdaqGS,United States of America
Advantest Corporation,ADTTF,OTC Markets,United States of America
Addus HomeCare Corporation,ADUS,NasdaqGM,United States of America
Advant-E Corp.,ADVC,OTC Markets,United States of America
Advent Software, Inc.,ADVS,NasdaqGS,United States of America
Auto Underwriters of America, Inc.,ADWT,OTC Markets,United States of America
The Adams Express Company,ADX,NYSE,United States of America
Adex Mining Inc.,ADXDF,OTC Markets,United States of America
ADX Energy Ltd.,ADXRF,OTC Markets,United States of America
Advaxis, Inc.,ADXS,OTC BB,United States of America
Feihe International, Inc.,ADY,NYSE,United States of America
Associated Estates Realty Corp,AEC,NYSE,United States of America
American Energy Development Co,AEDC,OTC Markets,United States of America
Ameren Corporation,AEE,NYSE,United States of America
American Energy Group Ltd.,AEGG,OTC Markets,United States of America
Aegion Corporation,AEGN,NasdaqGS,United States of America
Aegerion Pharmaceuticals, Inc.,AEGR,NasdaqGS,United States of America
Aehr Test Systems,AEHR,NasdaqCM,United States of America
Advanced Energy Industries, In,AEIS,NasdaqGS,United States of America
Alpine Electronics, Inc.,AELEF,OTC Markets,United States of America
